"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED",,,
201420,NS,1,PHP,PHP,353,35572,Physical Fitness Assessmt Lab,930,1030,R,EAW,112,B,Erik Hayes,0,0,24,24,YES,,,,
201420,NS,1,PHP,PHP,367,35561,Coaching of Soccer,1230,1320,TR,OG,219,A,Jeffrey Stan,2,2,40,40,YES,,,,
201420,NS,1,PHP,PHP,370,35563,Biomechanics,1400,1515,TR,EAW,108,A,Kevin Carlson,3,3,20,20,YES,,,,
201420,NS,1,PHP,PHP,381,34854,Kinesiology,1300,1350,MWF,EAW,108,A,Kevin Carlson,3,3,20,20,YES,,,,
201420,NS,1,PHP,PHP,382,34855,Physiology of Exercise-SP,1300,1350,MWF,EAW,109,A,Erik Hayes,3,3,18,18,YES,,,,
201420,NS,1,PHP,PHP,393B,33865,Practicum Exercise Science - B,,,,,,P,Jeffrey Marsee,1,1,10,10,YES,,,,
201420,NS,1,PHP,PHP,393AHPEE,35249,Practicum A HPEE,,,,,,P,Bruce Pratt,1,1,5,5,YES,,,,
201420,NS,1,PHP,PHP,393BHPEE,35250,Practicum B HPEE,,,,,,P,Bruce Pratt,1,1,5,5,YES,,,,
201420,NS,1,PHP,PHP,393A,35251,Practicum A SMA,,,,,,P,Gregory Wolfe,1,1,10,10,YES,,,,
201420,NS,1,PHP,PHP,393BSMA,35569,Practicum B SMA,,,,,,P,Gregory Wolfe,1,1,10,10,YES,,,,
201420,NS,1,PHP,PHP,402,34054,Admin Human Performance-SP,1100,1150,MWF,EAW,109,A,Donald Taylor,3,3,20,20,YES,,,,
201420,NS,1,PHP,PHP,410,35559,Pharmacotherapy in Exer Sci,1000,1100,T,EAW,109,A,Erik Hayes,1,1,15,15,YES,,,,
201420,NS,1,PHP,PHP,453,34856,Physical Fitness Prescription,800,850,MWF,EAW,108,G,Matthew Renfrow,3,3,15,15,YES,,,,
201420,NS,1,PHP,PHP,472,33935,Psychology of Coaching,1100,1150,TR,OG,205,A,Paul Patterson,2,2,18,18,YES,,,,
201420,NS,1,PHP,PHP,480,34765,Seminar in Sport Management,1100,1150,TR,EAW,108,S,Donald Taylor,2,2,18,18,YES,,,,
201420,NS,H2,PHP,PHP,200G,35265,Golf,1300,1600,W,,,G,Cameron Andry,1,1,12,12,YES,,,,
201420,NS,H2,PHP,PHP,200M,33926,Challenge Course Adventures,1230,1500,R,KSAC,110 CRT 2,G,Anthony Wormgoor,1,1,24,24,YES,,,,
201420,NS,H2,PHP,PHP,200RU,34597,Running,800,850,MWF,KSAC,110 TRACK,A,Gregory Wolfe,1,1,18,18,YES,,,,
201420,NS,H2,PHP,PHP,200S,34758,Soccer,1230,1345,TR,OG,GYM,G,Gary Ross,1,1,24,24,YES,,,,
201420,NS,H2,PHP,PHP,271,34891,CPR for Healthcare Providers,800,850,TR,OG,201,G,Jeffrey Marsee,1,1,10,10,YES,,,,
201410,NS,1,PHP,PHP,200AW,21135,Aerobic Walking,1300,1350,MTWRF,KSAC,110 TRACK,G,Amy Stucky,1,1,40,40,YES,,,,
201410,NS,1,PHP,PHP,200K,20480,Basketball,1100,1150,MTWRF,KSAC,110 CRT 4,G,Jonathan Meneely,0,0,0,0,YES,,,,
201410,NS,1,PHP,PHP,200L,20952,Bowling,1300,1500,MTWR,MFC,,G,Bruce Pratt,1,1,20,20,YES,,,,
201410,NS,1,PHP,PHP,200SB,21131,Beginning Swimming,900,950,MTWRF,EAW,POOL,G,Bradford Zarges,1,1,12,12,YES,,,,
201410,NS,1,PHP,PHP,200U,20750,Circuit Training,800,850,MTWRF,FH,CARLSON RM,G,Gregory Wolfe,1,1,18,18,YES,,,,
201410,NS,1,PHP,PHP,200V,20181,Volleyball,815,945,MTWRF,KSAC,110 CRT 4,G,Mark Lau,0,0,0,0,YES,,,,
201410,NS,1,PHP,PHP,317,20837,EKG & Stress Testing,1445,1600,MTR,EAW,109,A,Dane Davenport,2,2,36,36,YES,,,,
201410,NS,1,PHP,PHP,318,20838,Therapeutic Exercise & Rehab,1200,1410,MTWR,EAW,109,A,Erik Hayes,2,2,15,15,YES,,,,
201410,NS,1,PHP,PHP,318,21231,Therapeutic Exercise & Rehab,800,1030,MTWR,EAW,109,A,Erik Hayes,2,2,30,30,YES,,,,
201410,NS,1,PHP,PHP,393B,21062,Practicum B Exercise Science,,,,,,P,Jeffrey Marsee,1,1,5,5,YES,,,,
201410,NS,1,PHP,PHP,393A,21237,Practicum A-SMA,,,,,,P,Gregory Wolfe,1,1,5,5,YES,,,,
201410,NS,1,PHP,PHP,492,21123,Internship,,,,,,F,Donald Taylor,4,4,5,5,YES,,,,
